 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
443,112026595,39,26,17374,9684,1224,0,445.4871795,585.4199515,1448,0,372.4615385,392.1470368,241.5319327,0.580219367,1750415.547,3456192.092,10000000,7,112000000,2948068.289,4097015.319,10000000,142,112000000,4480099.28,4340969.915,10100000,48,0,0,0,0,1256,840,0.34813162,0.232087747,0,1448,409.969697,513.2335192,263408.6452,0,0,0,1,0,0,0,0,0,416.2769231,445.4871795,372.4615385,1256,0,0,0,0,0,0,39,17374,26,9684,29200,2038,16,32,1230273.818,2705897.136,7431603,23546,8951725.636,1755756.055,10000000,5844253,BENIGN
53,147,2,2,66,98,33,33,33,0,49,49,49,0,1115646.259,27210.88435,49,45.50824101,95,4,4,4,0,4,4,48,48,0,48,48,0,0,0,0,40,40,13605.44218,13605.44218,33,49,39.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,49.25,33,49,40,0,0,0,0,0,0,2,66,2,98,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,26021,1,1,0,0,0,0,0,0,0,0,0,0,0,76.86099689,26021,0,26021,26021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,38.43049844,38.43049844,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,237,31,0,32,0,0,0,0,0,0,0,0,BENIGN
443,117042017,93,120,2179,210564,532,0,23.43010753,81.27735631,4380,0,1754.7,976.5091195,1817.663481,1.819859273,552084.9858,2242106.724,10000000,1,117000000,1272195.837,3284289.342,10000000,1,112000000,941284.7059,2913204.801,10000000,1,0,0,0,0,1872,2544,0.794586443,1.02527283,0,4380,994.1261682,1130.285002,1277544.186,0,0,0,1,0,0,0,0,1,998.7934272,23.43010753,1754.7,1872,0,0,0,0,0,0,93,2179,120,210564,8192,1047,92,20,173762.6667,517105.6719,1815790,23560,9579738.667,1440875.936,10000000,5004577,BENIGN
53,86005,2,2,72,104,36,36,36,0,52,52,52,0,2046.392652,46.5089239,28668.33333,49609.98146,85953,4,4,4,0,4,4,48,48,0,48,48,0,0,0,0,40,64,23.25446195,23.25446195,36,52,42.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,53,36,52,40,0,0,0,0,0,0,2,72,2,104,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,113710107,19,17,1404,2949,438,0,73.89473684,161.9883037,979,0,173.4705882,384.3688199,38.2815575,0.316594549,3248860.2,4651439.512,10000000,31,114000000,6315589.444,4805400.586,10000000,261,114000000,7105022.875,4517471.425,10000000,1886,0,0,0,0,392,484,0.167091567,0.149502981,0,979,117.6486486,285.7418431,81648.4009,0,0,0,1,0,0,0,0,0,120.9166667,73.89473684,173.4705882,392,0,0,0,0,0,0,19,1404,17,2949,8192,127,18,20,343300.3636,808281.6838,2666193,29407,9991300.545,20266.74922,10000000,9950114,BENIGN
443,142217,7,9,718,730,442,0,102.5714286,170.7550459,583,0,81.11111111,191.4114968,10181.62386,112.504131,9481.133333,14966.71855,33594,2,101486,16914.33333,18403.30974,34083,104,108623,13577.875,16538.96903,33417,2,0,0,0,0,232,296,49.22055732,63.28357369,0,583,85.17647059,172.766546,29848.27941,0,0,0,1,0,0,0,0,1,90.5,102.5714286,81.11111111,232,0,0,0,0,0,0,7,718,9,730,29200,5098,3,32,0,0,0,0,0,0,0,0,BENIGN
80,115489493,16,14,443,122,359,0,27.6875,88.36267594,116,0,8.714285714,30.92031588,4.892219936,0.25976389,3982396.31,4871869.57,10000000,60,115000000,7699299.533,4175232.026,10000000,30038,111000000,8507568.615,3759780.859,10100000,422,0,0,0,0,332,424,0.138540742,0.121223149,0,359,18.22580645,66.47792099,4419.313978,0,0,0,1,0,0,0,0,0,18.83333333,27.6875,8.714285714,332,0,0,0,0,0,0,16,443,14,122,8192,343,15,20,49974.18182,27723.82745,133564,41473,10000000,3239.693776,10000000,9994628,BENIGN
443,12945652,10,7,1310,3311,957,0,131,297.5477553,1495,0,473,694.3294127,356.9538251,1.313182217,809103.25,2531857.698,9976670,28,12900000,1438405.778,3321881.081,9976670,23474,10200000,1705586.667,4088287.067,10100000,231,0,0,0,0,212,164,0.772460128,0.54072209,0,1495,256.7222222,499.4568586,249457.1536,0,0,0,1,0,0,0,0,0,271.8235294,131,473,212,0,0,0,0,0,0,10,1310,7,3311,8192,82,9,20,256850,0,256850,256850,9976670,0,9976670,9976670,BENIGN
41390,18,1,1,0,0,0,0,0,0,0,0,0,0,0,111111.1111,18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,55555.55556,55555.55556,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,513,1444,0,32,0,0,0,0,0,0,0,0,BENIGN
80,5605529,3,1,0,0,0,0,0,0,0,0,0,0,0,0.71358118,1868509.667,3235581.194,5604637,175,5605529,2802764.5,3962446.09,5604637,892,0,0,0,0,0,0,0,0,0,104,40,0.535185885,0.178395295,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack ï¿½ XSS
443,299058,61,97,1485,183353,575,0,24.3442623,97.16101503,4380,0,1890.237113,897.5814468,618067.3983,528.3256091,1904.828025,7229.323194,36092,1,298803,4980.05,11265.19795,36915,3,262966,2739.229167,8666.637165,36437,2,0,0,0,0,1232,1952,203.9738111,324.351798,0,4380,1162.503145,1151.913905,1326905.644,0,0,0,1,0,0,0,0,1,1169.860759,24.3442623,1890.237113,1232,0,0,0,0,0,0,61,1485,97,183353,8192,132,60,20,0,0,0,0,0,0,0,0,BENIGN
53,352,2,2,94,350,47,47,47,0,175,175,175,0,1261363.636,11363.63636,117.3333333,198.0311423,346,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,40,40,5681.818182,5681.818182,47,175,98.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,122.75,47,175,40,0,0,0,0,0,0,2,94,2,350,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,5718665,3,1,0,0,0,0,0,0,0,0,0,0,0,0.699463948,1906221.667,3300921.082,5717797,125,5718665,2859332.5,4042479.263,5717797,868,0,0,0,0,0,0,0,0,0,104,40,0.524597961,0.174865987,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack ï¿½ Brute Force
80,116390708,17,15,954,1598,435,0,56.11764706,142.6134997,796,0,106.5333333,279.9269973,21.92614895,0.274936037,3754538.968,4801921.89,10000000,139,116000000,7274419.25,4374801.534,10000000,23784,111000000,7907667.429,4210810.512,10000000,684,0,0,0,0,352,444,0.14605977,0.128876267,0,796,77.33333333,212.7841727,45277.10417,0,0,0,1,0,0,0,0,0,79.75,56.11764706,106.5333333,352,0,0,0,0,0,0,17,954,15,1598,8192,290,16,20,79969.90909,186884.5558,643448,23515,9984346,62538.53723,10000000,9796465,BENIGN
443,65122452,14,13,1268,4457,891,0,90.57142857,237.2524505,1551,0,342.8461538,605.6331186,87.91130899,0.414603553,2504709.692,4290520.708,10000000,65,65100000,5009419.385,5002079.9,10000000,224,65100000,5424457.083,4987940.148,10000000,247,0,0,0,0,292,344,0.21497962,0.199623933,0,1551,204.4642857,455.6478076,207614.9246,0,0,0,1,0,0,0,0,0,212.037037,90.57142857,342.8461538,292,0,0,0,0,0,0,14,1268,13,4457,8192,137,13,20,44346.66667,38384.30737,122698,28548,10000000,627.2331836,10000000,9999467,BENIGN
443,5855898,9,6,382,5561,195,0,42.44444444,69.66726475,2920,0,926.8333333,1134.281167,1014.874234,2.561520026,418278.4286,1518979.31,5695469,1,5855898,731987.25,2005754.419,5695469,4,75938,15187.6,19786.93144,40865,86,0,0,0,0,192,132,1.536912016,1.024608011,0,2920,371.4375,793.0816661,628978.5292,0,0,0,1,0,0,0,0,0,396.2,42.44444444,926.8333333,192,0,0,0,0,0,0,9,382,6,5561,8192,119,8,20,160425,0,160425,160425,5695469,0,5695469,5695469,BENIGN
53,256,2,2,66,578,33,33,33,0,289,289,289,0,2515625,15625,85.33333333,141.740373,249,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,40,40,7812.5,7812.5,33,289,135.4,140.2169747,19660.8,0,0,0,0,0,0,0,0,1,169.25,33,289,40,0,0,0,0,0,0,2,66,2,578,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,67052700,204,104,48985,183687,585,0,240.122549,253.3083747,1870,0,1766.221154,309.6128794,3469.98704,4.593401906,218412.7036,394832.4506,2587661,5,67000000,330293.9754,446120.1369,2587661,495,67100000,650995.4272,434193.8313,2588369,5,0,0,0,0,6536,3336,3.042383081,1.551018825,0,1870,752.9838188,772.6979487,597062.1199,0,0,0,1,0,0,0,0,0,755.4285714,240.122549,1766.221154,6536,0,0,0,0,0,0,204,48985,104,183687,29200,1150,101,32,0,0,0,0,0,0,0,0,Web Attack ï¿½ XSS
1732,30,1,1,6,6,6,6,6,0,6,6,6,0,400000,66666.66667,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,33333.33333,33333.33333,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,344,257,0,20,0,0,0,0,0,0,0,0,BENIGN
80,5807017,3,1,0,0,0,0,0,0,0,0,0,0,0,0.688821817,1935672.333,3351582.153,5805746,95,5807017,2903508.5,4104383.634,5805746,1271,0,0,0,0,0,0,0,0,0,104,40,0.516616363,0.172205454,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack ï¿½ Brute Force
50120,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,30016,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,5276976,3,1,0,0,0,0,0,0,0,0,0,0,0,0.758009891,1758992,3045915.285,5276112,111,5276976,2638488,3730163.633,5276112,864,0,0,0,0,0,0,0,0,0,104,40,0.568507418,0.189502473,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack ï¿½ Brute Force
59430,357,3,1,31,6,31,0,10.33333333,17.89785834,6,6,6,0,103641.4566,11204.48179,119,132.6612227,272,36,308,154,166.8772004,272,36,0,0,0,0,0,0,0,0,0,96,20,8403.361345,2801.120448,0,31,7.4,13.44618905,180.8,0,0,0,0,1,0,0,0,0,9.25,10.33333333,6,96,0,0,0,0,0,0,3,31,1,6,31,0,1,32,0,0,0,0,0,0,0,0,BENIGN
53,391,1,1,52,124,52,52,52,0,124,124,124,0,450127.8772,5115.089514,391,0,391,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2557.544757,2557.544757,52,124,76,41.56921938,1728,0,0,0,0,0,0,0,0,1,114,52,124,32,0,0,0,0,0,0,1,52,1,124,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
80,5906055,3,1,0,0,0,0,0,0,0,0,0,0,0,0.677271038,1968685,3409045.796,5905112,168,5906055,2953027.5,4174877.937,5905112,943,0,0,0,0,0,0,0,0,0,104,40,0.507953278,0.169317759,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack ï¿½ Brute Force
80,71,1,1,0,0,0,0,0,0,0,0,0,0,0,28169.01408,71,0,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,14084.50704,14084.50704,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,237,235,0,32,0,0,0,0,0,0,0,0,Web Attack ï¿½ Sql Injection
443,62687120,15,13,2475,6264,1102,0,165,360.9481562,2971,2,481.8461538,885.7390366,139.4066277,0.446662728,2321745.185,4163151.19,9993084,18,62700000,4477651.429,4994256.465,10100000,12739,62600000,5216595.5,5067589.945,10100000,508,0,0,0,0,312,264,0.239283604,0.207379123,0,2971,301.3448276,655.5145349,429699.3054,0,0,0,1,0,0,0,0,0,312.1071429,165,481.8461538,312,0,0,0,0,0,0,15,2475,13,6264,8192,34162,14,20,514557.8333,1045648.071,2648978,87484,9933266.333,92790.32997,9993084,9800623,BENIGN
443,60936142,14,12,1290,4022,889,0,92.14285714,237.6030488,3075,2,335.1666667,893.687136,87.17322472,0.426676175,2437445.68,4335613.189,10000000,0,60900000,4687395.538,5184504.643,10100000,137,60900000,5531933.818,5227137.863,10100000,1817,0,0,0,0,292,244,0.22974871,0.196927465,0,3075,196.7407407,618.3470268,382353.0456,0,0,0,1,0,0,0,0,0,204.3076923,92.14285714,335.1666667,292,0,0,0,0,0,0,14,1290,12,4022,8192,32004,13,20,125761.5,100103.6419,330096,84651,9996593.667,5738.695345,10000000,9992060,BENIGN
38647,20,1,1,0,0,0,0,0,0,0,0,0,0,0,100000,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,50000,50000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,4687,29200,0,32,0,0,0,0,0,0,0,0,BENIGN
52895,34,1,1,6,6,6,6,6,0,6,6,6,0,352941.1765,58823.52941,34,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,29411.76471,29411.76471,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,114,251,0,20,0,0,0,0,0,0,0,0,BENIGN
443,45360865,16,13,3131,13732,1448,0,195.6875,486.5836987,2896,0,1056.307692,964.8850005,371.7521701,0.639317614,1620030.893,8494146.494,45000000,3,45400000,3024057.667,11600000,45000000,3,361419,30118.25,83243.33124,292758,93,0,0,0,0,524,424,0.35272696,0.286590655,0,2896,562.1,837.9514162,702162.5759,0,0,0,1,0,0,0,0,0,581.4827586,195.6875,1056.307692,524,0,0,0,0,0,0,16,3131,13,13732,65535,1120,7,32,400023,0,400023,400023,45000000,0,45000000,45000000,BENIGN
53,184,2,2,70,178,35,35,35,0,89,89,89,0,1347826.087,21739.13043,61.33333333,65.37838583,132,3,3,3,0,3,3,49,49,0,49,49,0,0,0,0,64,64,10869.56522,10869.56522,35,89,56.6,29.57701811,874.8,0,0,0,0,0,0,0,0,1,70.75,35,89,64,0,0,0,0,0,0,2,70,2,178,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
80,5129471,3,1,0,0,0,0,0,0,0,0,0,0,0,0.779807508,1709823.667,2960765.353,5128621,161,5129471,2564735.5,3625881.646,5128621,850,0,0,0,0,0,0,0,0,0,104,40,0.584855631,0.194951877,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack ï¿½ XSS
53,61779,1,1,40,102,40,40,40,0,102,102,102,0,2298.515677,32.37346024,61779,0,61779,61779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,16.18673012,16.18673012,40,102,60.66666667,35.79571669,1281.333333,0,0,0,0,0,0,0,0,1,91,40,102,32,0,0,0,0,0,0,1,40,1,102,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53,23265,1,1,46,74,46,46,46,0,74,74,74,0,5157.962605,85.96604341,23265,0,23265,23265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,42.98302171,42.98302171,46,74,55.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,83,46,74,32,0,0,0,0,0,0,1,46,1,74,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
137,4,2,0,124,0,62,62,62,0,0,0,0,0,31000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,64,0,500000,0,62,62,62,0,0,0,0,0,0,0,0,0,0,0,93,62,0,64,0,0,0,0,0,0,2,124,0,0,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
22,172,1,1,0,0,0,0,0,0,0,0,0,0,0,11627.90698,172,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,5813.953488,5813.953488,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,290,243,0,32,0,0,0,0,0,0,0,0,BENIGN
443,116132715,26,27,1471,18578,517,0,56.57692308,137.2732088,3331,0,688.0740741,963.0742014,172.6386919,0.456374416,2233321.442,4158418.071,10200000,1,116000000,4645308.6,5035392.181,10200000,4,112000000,4296091.154,5105238.688,10200000,2,0,0,0,0,532,684,0.223881789,0.232492627,0,3331,371.2777778,752.4666962,566206.1289,0,0,0,1,0,0,0,0,1,378.2830189,56.57692308,688.0740741,532,0,0,0,0,0,0,26,1471,27,18578,8192,127,25,20,55875.54545,79691.8195,296111,30964,10100000,83468.12588,10200000,9900525,BENIGN
443,63,2,0,12,0,6,6,6,0,0,0,0,0,190476.1905,31746.03175,63,0,63,63,63,63,0,63,63,0,0,0,0,0,0,0,0,0,40,0,31746.03175,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,481,1,1,44,81,44,44,44,0,81,81,81,0,259875.2599,4158.004158,481,0,481,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2079.002079,2079.002079,44,81,56.33333333,21.36195996,456.3333333,0,0,0,0,0,0,0,0,1,84.5,44,81,20,0,0,0,0,0,0,1,44,1,81,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
53,1573589,6,2,168,512,28,28,28,0,256,256,256,0,432.1331682,5.083919626,224798.4286,389373.2572,1002778,3,1070310,214062,441873.8801,1002778,3,3,3,0,3,3,0,0,0,0,192,40,3.812939719,1.270979906,28,256,78.66666667,100.5385498,10108,0,0,0,0,0,0,0,0,0,88.5,28,256,192,0,0,0,0,0,0,6,168,2,512,-1,-1,5,32,0,0,0,0,0,0,0,0,BENIGN
53,817,2,2,90,172,45,45,45,0,86,86,86,0,320685.4345,4895.960832,272.3333333,428.1195316,766,3,48,48,0,48,48,3,3,0,3,3,0,0,0,0,64,64,2447.980416,2447.980416,45,86,61.4,22.45662486,504.3,0,0,0,0,0,0,0,0,1,76.75,45,86,64,0,0,0,0,0,0,2,90,2,172,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
443,100697,1,1,0,0,0,0,0,0,0,0,0,0,0,19.86156489,100697,0,100697,100697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,9.930782446,9.930782446,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,372,123,0,32,0,0,0,0,0,0,0,0,BENIGN
443,115781994,20,19,1686,6926,1280,0,84.3,285.0008495,2920,0,364.5263158,776.6832164,74.38116846,0.336839941,3046894.579,4585799.344,10000000,3,116000000,6093789.158,4879121.629,10000000,3,110000000,6123251.111,5020616.125,10000000,50,0,0,0,0,412,524,0.172738431,0.16410151,0,2920,215.3,582.0878073,338826.2154,0,0,0,1,0,0,0,0,0,220.8205128,84.3,364.5263158,412,0,0,0,0,0,0,20,1686,19,6926,8192,33,19,20,19132.5,13993.22319,63566,14989,9629366.75,1285206.399,10000000,5548289,BENIGN
80,5543627,3,1,0,0,0,0,0,0,0,0,0,0,0,0.721549267,1847875.667,3199015.957,5541781,125,5543627,2771813.5,3917325.606,5541781,1846,0,0,0,0,0,0,0,0,0,104,40,0.54116195,0.180387317,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack ï¿½ Brute Force
